package,characteristic_a,characteristic_b,value_a,value_b,joint_count,joint_probability,conditional_b_given_a,conditional_a_given_b
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'IS1', 'IS2'}",48,0.06896551724137931,0.2,0.6666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'IS1'}",48,0.06896551724137931,0.2,0.5
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1'}","in {'IS1', 'IS2', 'IS3'}",48,0.06896551724137931,0.3333333333333333,0.6666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1'}","in {'IS1', 'IS2'}",24,0.034482758620689655,0.16666666666666666,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'IS1', 'IS2', 'IS3'}",48,0.06896551724137931,0.3333333333333333,0.6666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'IS1', 'IS2'}",24,0.034482758620689655,0.16666666666666666,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,NOVALUE,NOVALUE,48,0.06896551724137931,0.5,0.6666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,NOVALUE,TT1,24,0.034482758620689655,0.25,0.25
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,NOVALUE,"in {NOVALUE, 'TT1'}",24,0.034482758620689655,0.25,0.25
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",NOVALUE,24,0.034482758620689655,0.5,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}","in {NOVALUE, 'TT1', 'TT2'}",24,0.034482758620689655,0.5,0.16666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",TT1,24,0.034482758620689655,0.14285714285714285,0.25
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {'TT1', 'TT2', 'TT3'}",24,0.034482758620689655,0.14285714285714285,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",24,0.034482758620689655,0.14285714285714285,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",24,0.034482758620689655,0.14285714285714285,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2'}",48,0.06896551724137931,0.2857142857142857,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1'}",24,0.034482758620689655,0.14285714285714285,0.25
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {'TT1', 'TT2', 'TT3'}",48,0.06896551724137931,0.2,0.6666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {'TT1', 'TT2'}",48,0.06896551724137931,0.2,0.6666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",48,0.06896551724137931,0.2,0.6666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",48,0.06896551724137931,0.2,0.6666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2'}",48,0.06896551724137931,0.2,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1'}",TT1,48,0.06896551724137931,0.3333333333333333,0.5
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1'}","in {'TT1', 'TT2'}",24,0.034482758620689655,0.16666666666666666,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'TT1', 'TT2'}",24,0.034482758620689655,0.16666666666666666,0.16666666666666666
"in {NOVALUE, 'x731'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'TT1'}",48,0.06896551724137931,0.3333333333333333,0.5
"in {NOVALUE, 'x731'}",housing,powerSupply,ST,4,290,0.4166666666666667,1.0,1.0
"in {NOVALUE, 'x731'}",housing,powerSupply,"in {'ST', 'AL'}","in {'1', '4'}",406,0.5833333333333334,1.0,1.0
"in {NOVALUE, 'x731'}",numberOfChannels,temperaturEingaenge,"in {1, 2}",NOVALUE,72,0.10344827586206896,0.10344827586206896,1.0
"in {NOVALUE, 'x731'}",numberOfChannels,temperaturEingaenge,"in {1, 2}",TT1,96,0.13793103448275862,0.13793103448275862,1.0
"in {NOVALUE, 'x731'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {'TT1', 'TT2', 'TT3'}",72,0.10344827586206896,0.10344827586206896,1.0
"in {NOVALUE, 'x731'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {'TT1', 'TT2'}",72,0.10344827586206896,0.10344827586206896,1.0
"in {NOVALUE, 'x731'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",72,0.10344827586206896,0.10344827586206896,1.0
"in {NOVALUE, 'x731'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",72,0.10344827586206896,0.10344827586206896,1.0
"in {NOVALUE, 'x731'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {NOVALUE, 'TT1', 'TT2'}",144,0.20689655172413793,0.20689655172413793,1.0
"in {NOVALUE, 'x731'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {NOVALUE, 'TT1'}",96,0.13793103448275862,0.13793103448275862,1.0
"in {NOVALUE, 'x731'}",dataInterface,certification,HS,MN,80,0.11494252873563218,0.4166666666666667,0.27586206896551724
"in {NOVALUE, 'x731'}",dataInterface,certification,HS,NN,40,0.05747126436781609,0.20833333333333334,0.2898550724637681
"in {NOVALUE, 'x731'}",dataInterface,certification,HS,"in {'NN', 'FN'}",12,0.017241379310344827,0.0625,0.3
"in {NOVALUE, 'x731'}",dataInterface,certification,HS,"in {'NN', 'WN', 'FN'}",20,0.028735632183908046,0.10416666666666667,0.2631578947368421
"in {NOVALUE, 'x731'}",dataInterface,certification,HS,"in {'NN', 'WN'}",40,0.05747126436781609,0.20833333333333334,0.2631578947368421
"in {NOVALUE, 'x731'}",dataInterface,certification,NN,MN,36,0.05172413793103448,0.3333333333333333,0.12413793103448276
"in {NOVALUE, 'x731'}",dataInterface,certification,NN,NN,24,0.034482758620689655,0.2222222222222222,0.17391304347826086
"in {NOVALUE, 'x731'}",dataInterface,certification,NN,"in {'NN', 'WN'}",48,0.06896551724137931,0.4444444444444444,0.3157894736842105
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}",MN,45,0.06465517241379311,0.5,0.15517241379310345
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}",NN,15,0.021551724137931036,0.16666666666666666,0.10869565217391304
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}","in {'NN', 'FN'}",6,0.008620689655172414,0.06666666666666667,0.15
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}","in {'NN', 'WN', 'FN'}",24,0.034482758620689655,0.26666666666666666,0.3157894736842105
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'MT'}",MN,9,0.01293103448275862,0.5,0.03103448275862069
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'MT'}",NN,3,0.004310344827586207,0.16666666666666666,0.021739130434782608
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'MT'}","in {'NN', 'FN'}",6,0.008620689655172414,0.3333333333333333,0.15
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",MN,68,0.09770114942528736,0.38636363636363635,0.23448275862068965
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",NN,36,0.05172413793103448,0.20454545454545456,0.2608695652173913
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM'}","in {'NN', 'FN'}",8,0.011494252873563218,0.045454545454545456,0.2
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM'}","in {'NN', 'WN'}",64,0.09195402298850575,0.36363636363636365,0.42105263157894735
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",MN,32,0.04597701149425287,0.5,0.1103448275862069
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}","in {'NN', 'WN', 'FN'}",32,0.04597701149425287,0.5,0.42105263157894735
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF'}",MN,20,0.028735632183908046,0.4166666666666667,0.06896551724137931
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF'}",NN,20,0.028735632183908046,0.4166666666666667,0.14492753623188406
"in {NOVALUE, 'x731'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF'}","in {'NN', 'FN'}",8,0.011494252873563218,0.16666666666666666,0.2
"in {NOVALUE, 'x731'}",protectionArea,certification,2,MN,174,0.25,0.375,0.6
"in {NOVALUE, 'x731'}",protectionArea,certification,2,NN,138,0.19827586206896552,0.2974137931034483,1.0
"in {NOVALUE, 'x731'}",protectionArea,certification,2,"in {'NN', 'WN'}",152,0.21839080459770116,0.3275862068965517,1.0
"in {NOVALUE, 'x731'}",protectionArea,certification,N,MN,116,0.16666666666666666,0.5,0.4
"in {NOVALUE, 'x731'}",protectionArea,certification,N,"in {'NN', 'FN'}",40,0.05747126436781609,0.1724137931034483,1.0
"in {NOVALUE, 'x731'}",protectionArea,certification,N,"in {'NN', 'WN', 'FN'}",76,0.10919540229885058,0.3275862068965517,1.0
"in {NOVALUE, 'x731'}",explosionApproval,protectionArea,A,2,116,0.16666666666666666,1.0,0.25
"in {NOVALUE, 'x731'}",explosionApproval,protectionArea,F,2,116,0.16666666666666666,1.0,0.25
"in {NOVALUE, 'x731'}",explosionApproval,protectionArea,K,2,116,0.16666666666666666,1.0,0.25
"in {NOVALUE, 'x731'}",explosionApproval,protectionArea,N,N,232,0.3333333333333333,1.0,1.0
"in {NOVALUE, 'x731'}",explosionApproval,protectionArea,"in {'A', 'E', 'P', 'J', 'S'}",2,116,0.16666666666666666,1.0,0.25
"in {NOVALUE, 'x731'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",290,0.4166666666666667,1.0,1.0
"in {NOVALUE, 'x731'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,406,0.5833333333333334,1.0,1.0
